,id,latitude,longitude
475,14-21,50.0476,19.88019
476,14-22,50.04463,19.88019
477,14-23,50.04166,19.88019
478,14-24,50.03869,19.88019
479,14-25,50.03572,19.88019
480,14-26,50.03275,19.88019
481,14-27,50.02978,19.88019
482,14-28,50.02681,19.88019
483,14-29,50.02384,19.88019
484,14-30,50.02087,19.88019
485,14-31,50.0179,19.88019
486,14-32,50.01493,19.88019
487,14-33,50.01196,19.88019
488,14-34,50.00899,19.88019
489,14-35,50.00602,19.88019
490,15-1,50.107,19.88482
491,15-2,50.10403,19.88482
492,15-3,50.10106,19.88482
493,15-4,50.09809,19.88482
494,15-5,50.09512,19.88482
495,15-6,50.09215,19.88482
496,15-7,50.08918,19.88482
497,15-8,50.08621,19.88482
498,15-9,50.083239999999996,19.88482
499,15-10,50.08027,19.88482
500,15-11,50.0773,19.88482
501,15-12,50.074329999999996,19.88482
502,15-13,50.07136,19.88482
503,15-14,50.06839,19.88482
504,15-15,50.065419999999996,19.88482
505,15-16,50.06245,19.88482
506,15-17,50.05948,19.88482
507,15-18,50.056509999999996,19.88482
508,15-19,50.05354,19.88482
509,15-20,50.05057,19.88482
510,15-21,50.0476,19.88482
511,15-22,50.04463,19.88482
512,15-23,50.04166,19.88482
513,15-24,50.03869,19.88482
514,15-25,50.03572,19.88482
515,15-26,50.03275,19.88482
516,15-27,50.02978,19.88482
517,15-28,50.02681,19.88482
518,15-29,50.02384,19.88482
519,15-30,50.02087,19.88482
520,15-31,50.0179,19.88482
521,15-32,50.01493,19.88482
522,15-33,50.01196,19.88482
523,15-34,50.00899,19.88482
524,15-35,50.00602,19.88482
525,16-1,50.107,19.88945
526,16-2,50.10403,19.88945
527,16-3,50.10106,19.88945
528,16-4,50.09809,19.88945
529,16-5,50.09512,19.88945
530,16-6,50.09215,19.88945
531,16-7,50.08918,19.88945
532,16-8,50.08621,19.88945
533,16-9,50.083239999999996,19.88945
534,16-10,50.08027,19.88945
535,16-11,50.0773,19.88945
536,16-12,50.074329999999996,19.88945
537,16-13,50.07136,19.88945
538,16-14,50.06839,19.88945
539,16-15,50.065419999999996,19.88945
540,16-16,50.06245,19.88945
541,16-17,50.05948,19.88945
542,16-18,50.056509999999996,19.88945
543,16-19,50.05354,19.88945
544,16-20,50.05057,19.88945
545,16-21,50.0476,19.88945
546,16-22,50.04463,19.88945
547,16-23,50.04166,19.88945
548,16-24,50.03869,19.88945
549,16-25,50.03572,19.88945
550,16-26,50.03275,19.88945
551,16-27,50.02978,19.88945
552,16-28,50.02681,19.88945
553,16-29,50.02384,19.88945
554,16-30,50.02087,19.88945
555,16-31,50.0179,19.88945
556,16-32,50.01493,19.88945
557,16-33,50.01196,19.88945
558,16-34,50.00899,19.88945
559,16-35,50.00602,19.88945
560,17-1,50.107,19.89408
561,17-2,50.10403,19.89408
562,17-3,50.10106,19.89408
563,17-4,50.09809,19.89408
564,17-5,50.09512,19.89408
565,17-6,50.09215,19.89408
566,17-7,50.08918,19.89408
567,17-8,50.08621,19.89408
568,17-9,50.083239999999996,19.89408
569,17-10,50.08027,19.89408
570,17-11,50.0773,19.89408
571,17-12,50.074329999999996,19.89408
572,17-13,50.07136,19.89408
573,17-14,50.06839,19.89408
574,17-15,50.065419999999996,19.89408
575,17-16,50.06245,19.89408
576,17-17,50.05948,19.89408
577,17-18,50.056509999999996,19.89408
578,17-19,50.05354,19.89408
579,17-20,50.05057,19.89408
580,17-21,50.0476,19.89408
581,17-22,50.04463,19.89408
582,17-23,50.04166,19.89408
583,17-24,50.03869,19.89408
584,17-25,50.03572,19.89408
585,17-26,50.03275,19.89408
586,17-27,50.02978,19.89408
587,17-28,50.02681,19.89408
588,17-29,50.02384,19.89408
589,17-30,50.02087,19.89408
590,17-31,50.0179,19.89408
591,17-32,50.01493,19.89408
592,17-33,50.01196,19.89408
593,17-34,50.00899,19.89408
594,17-35,50.00602,19.89408
595,18-1,50.107,19.89871
596,18-2,50.10403,19.89871
597,18-3,50.10106,19.89871
